Official Full Name,"Official Symbol
",Gene type,Location,Exon Count,Chromosome,"HPO Term Identifier
","HPO Association
"
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001249,Intellectual disability
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001511,Intrauterine growth retardation
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0003186,Inverted nipples
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000612,Iris coloboma
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001382,Joint hypermobility
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000276,Long face
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000294,Low anterior hairline
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002665,Lymphoma
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002024,Malabsorption
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000485,Megalocornea
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001840,Metatarsus adductus
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000252,Microcephaly
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000347,Micrognathia
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000568,Microphthalmia
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002342,Moderate intellectual disability
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000545,Myopia
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000275,Narrow face
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002664,Neoplasm
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0012758,Neurodevelopmental delay
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000639,Nystagmus
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000767,Pectus excavatum
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001761,Pes cavus
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000613,Photophobia
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000358,Posteriorly rotated ears
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0008897,Postnatal growth retardation
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000426,Prominent nasal bridge
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000448,Prominent nose
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000411,Protruding ear
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000508,Ptosis
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002035,Rectal prolapse
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002719,Recurrent infections
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000403,Recurrent otitis media
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002093,Respiratory insufficiency
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000960,Sacral dimple
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001852,Sandal gap
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002650,Scoliosis
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001250,Seizure
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000049,Shawl scrotum
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000736,Short attention span
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000331,Short chin
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001773,Short foot
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000322,Short philtrum
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0004322,Short stature
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002360,Sleep disturbance
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000340,Sloping forehead
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001518,Small for gestational age
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0200055,Small hand
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000319,Smooth philtrum
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0008070,Sparse hair
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0005338,Sparse lateral eyebrow
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002209,Sparse scalp hair
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002064,Spastic gait
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001257,Spasticity
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001328,Specific learning disability
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0003298,Spina bifida occulta
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000486,Strabismus
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000176,Submucous cleft hard palate
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000664,Synophrys
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000506,Telecanthus
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000574,Thick eyebrow
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000215,Thick upper lip vermilion
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001873,Thrombocytopenia
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0001770,Toe syndactyly
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0033454,Tube feeding
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000430,Underdeveloped nasal alae
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0009891,Underdeveloped supraorbital ridges
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0002013,Vomiting
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000260,Wide anterior fontanel
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000154,Wide mouth
NOP2/Sun RNA methyltransferase 2,NSUN2,protein-coding,5p15.31,19,5,HP:0000431,Wide nasal bridge
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0003363,Abdominal situs inversus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001671,Abnormal cardiac septum morphology
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0030680,Abnormal cardiovascular system morphology
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001760,Abnormal foot morphology
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0003312,Abnormal form of the vertebral bodies
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001654,Abnormal heart valve morphology
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000159,Abnormal lip morphology
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000377,Abnormal pinna morphology
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0011863,Abnormal sternal ossification
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000765,Abnormal thorax morphology
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0003468,Abnormal vertebral morphology
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0100022,Abnormality of movement
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0005264,Abnormality of the gallbladder
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000078,Abnormality of the genital system
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000119,Abnormality of the genitourinary system
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002715,Abnormality of the immune system
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000077,Abnormality of the kidney
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000153,Abnormality of the mouth
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000288,Abnormality of the philtrum
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000079,Abnormality of the urinary system
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000925,Abnormality of the vertebral column
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001331,Absent septum pellucidum
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001747,Accessory spleen
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001274,Agenesis of corpus callosum
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000718,Aggressive behavior
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0007874,Almond-shaped palpebral fissure
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000739,Anxiety
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0007385,Aplasia cutis congenita of scalp
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000151,Aplasia of the uterus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0007360,Aplasia/Hypoplasia of the cerebellum
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0006703,Aplasia/Hypoplasia of the lungs
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0006709,Aplasia/Hypoplasia of the nipples
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001166,Arachnodactyly
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001251,Ataxia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001631,Atrial septal defect
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0009907,Attached earlobe
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000729,Autistic behavior
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000006,Autosomal dominant inheritance
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0012584,Bilateral renal hypoplasia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001080,Biliary tract abnormality
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001362,Calvarial skull defect
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002389,Cavum septum pellucidum
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0012450,Chronic constipation
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000389,Chronic otitis media
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000175,Cleft palate
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000204,Cleft upper lip
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0004209,Clinodactyly of the 5th finger
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000405,Conductive hearing impairment
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000776,Congenital diaphragmatic hernia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000444,Convex nasal ridge
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0004484,Craniofacial asymmetry
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000028,Cryptorchidism
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002720,Decreased circulating IgA concentration
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001558,Decreased fetal movement
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0003199,Decreased muscle mass
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000684,Delayed eruption of teeth
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002750,Delayed skeletal maturation
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0005280,Depressed nasal bridge
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001519,Disproportionate tall stature
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000268,Dolichocephaly
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000494,Downslanted palpebral fissures
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002714,Downturned corners of mouth
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000958,Dry skin
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002353,EEG abnormality
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0009918,Ectopia pupillae
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000286,Epicanthus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001738,Exocrine pancreatic insufficiency
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001508,Failure to thrive
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0011968,Feeding difficulties
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0011461,Fetal onset
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002007,Frontal bossing
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002020,Gastroesophageal reflux
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001290,Generalized hypotonia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000501,Glaucoma
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001263,Global developmental delay
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001510,Growth delay
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000365,Hearing impairment
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001028,Hemangioma
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002240,Hepatomegaly
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0100790,Hernia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0009890,High anterior hairline
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000348,High forehead
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002553,Highly arched eyebrow
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002827,Hip dislocation
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001385,Hip dysplasia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000238,Hydrocephalus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000752,Hyperactivity
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001812,Hyperconvex fingernails
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0004719,Hyperechogenic kidneys
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000316,Hypertelorism
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000668,Hypodontia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0008830,Hypoplastic pubic ramus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000047,Hypospadias
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001252,Hypotonia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002721,Immunodeficiency
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0003593,Infantile onset
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001249,Intellectual disability
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001511,Intrauterine growth retardation
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000612,Iris coloboma
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002808,Kyphosis
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000343,Long philtrum
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002162,Low posterior hairline
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0004794,Malrotation of small bowel
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000485,Megalocornea
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0009193,Metacarpal pseudoepiphysis
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001840,Metatarsus adductus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000252,Microcephaly
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000347,Micrognathia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0008551,Microtia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0005268,Miscarriage
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002011,Morphological central nervous system abnormality
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000733,Motor stereotypy
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000639,Nystagmus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000648,Optic atrophy
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000202,Orofacial cleft
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000939,Osteoporosis
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000629,Periorbital fullness
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0007109,Periventricular cysts
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000358,Posteriorly rotated ears
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0008897,Postnatal growth retardation
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0004467,Preauricular pit
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000384,Preauricular skin tag
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001841,Preaxial foot polydactyly
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001177,Preaxial hand polydactyly
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000826,Precocious puberty
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0009899,Prominent crus of helix
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0011220,Prominent forehead
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002057,Prominent glabella
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000520,Proptosis
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000411,Protruding ear
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000508,Ptosis
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002974,Radioulnar synostosis
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002205,Recurrent respiratory infections
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000488,Retinopathy
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000902,Rib fusion
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0006655,Rib segmentation abnormalities
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000558,Rieger anomaly
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000960,Sacral dimple
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000647,Sclerocornea
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002650,Scoliosis
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001250,Seizure
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000407,Sensorineural hearing impairment
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0010864,Severe intellectual disability
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0008850,Severe postnatal growth retardation
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000331,Short chin
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0010109,Short hallux
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000322,Short philtrum
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0004322,Short stature
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0009778,Short thumb
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000188,Short upper lip
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000954,Single transverse palmar crease
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002360,Sleep disturbance
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001518,Small for gestational age
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001171,Split hand
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0003745,Sporadic
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000402,Stenosis of the external auditory canal
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000486,Strabismus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0010464,Streak ovary
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001762,Talipes equinovarus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000679,Taurodontia
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000506,Telecanthus
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002144,Tethered cord
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000233,Thin vermilion border
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000582,Upslanted palpebral fissure
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0001629,Ventricular septal defect
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002119,Ventriculomegaly
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0002948,Vertebral fusion
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000465,Webbed neck
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0006610,Wide intermamillary distance
nuclear receptor binding SET domain protein 2,NSD2,protein-coding,4p16.3,29,4,HP:0000431,Wide nasal bridge
nuclear receptor subfamily 5 group A member 1,NR5A1,protein-coding,9q33.3,7,9,HP:0030680,Abnormal cardiovascular system morphology
nuclear receptor subfamily 5 group A member 1,NR5A1,protein-coding,9q33.3,7,9,HP:0000812,Abnormal internal genitalia
nuclear receptor subfamily 5 group A member 1,NR5A1,protein-coding,9q33.3,7,9,HP:0000058,Abnormal labia morphology
nuclear receptor subfamily 5 group A member 1,NR5A1,protein-coding,9q33.3,7,9,HP:0000022,Abnormal male internal genitalia morphology
nuclear receptor subfamily 5 group A member 1,NR5A1,protein-coding,9q33.3,7,9,HP:0000008,Abnormal morphology of female internal genitalia
nuclear receptor subfamily 5 group A member 1,NR5A1,protein-coding,9q33.3,7,9,HP:0012856,Abnormal scrotal rugation
nuclear receptor subfamily 5 group A member 1,NR5A1,protein-coding,9q33.3,7,9,HP:0000045,Abnormal scrotum morphology
