Official Full Name,"Official Symbol
","Disease Identifier
","Disease Name
"
ubiquitin protein ligase E3A,UBE3A,ORPHA:411511,Angelman syndrome due to a point mutation
ubiquitin protein ligase E3A,UBE3A,ORPHA:411515,Angelman syndrome due to imprinting defect in 15q11-q13
ubiquitin protein ligase E3A,UBE3A,ORPHA:238446,15q11q13 microduplication syndrome
ubiquitin protein ligase E3A,UBE3A,ORPHA:98794,Angelman syndrome due to maternal 15q11q13 deletion
ubiquitin protein ligase E3A,UBE3A,ORPHA:98795,Angelman syndrome due to paternal uniparental disomy of chromosome 15
USH1 protein network component harmonin,USH1C,OMIM:602092,"Deafness, neurosensory, autosomal recessive 18"
USH1 protein network component harmonin,USH1C,ORPHA:231169,Usher syndrome type 1
USH1 protein network component harmonin,USH1C,OMIM:276900,"Usher syndrome, type I"
USH1 protein network component harmonin,USH1C,OMIM:276904,"Usher syndrome, type IC"
USH1 protein network component sans,USH1G,ORPHA:231169,Usher syndrome type 1
USH1 protein network component sans,USH1G,OMIM:606943,"Usher syndrome, type IG"
WD repeat and FYVE domain containing 3,WDFY3,OMIM:617520,"Microcephaly 18, primary, autosomal dominant"
whirilin,WHRN,OMIM:607084,"Deafness, autosomal recessive 31"
whirilin,WHRN,ORPHA:231178,Usher syndrome type 2
whirilin,WHRN,OMIM:611383,"Usher syndrome, type IID"
wolframin ER transmembrane glycoprotein,WFS1,OMIM:116400,"Cataract, nuclear total"
wolframin ER transmembrane glycoprotein,WFS1,OMIM:600965,"Deafness, autosomal dominant 6"
wolframin ER transmembrane glycoprotein,WFS1,OMIM:125853,"Diabetes mellitus, noninsulin-dependent"
wolframin ER transmembrane glycoprotein,WFS1,ORPHA:3463,Wolfram syndrome
wolframin ER transmembrane glycoprotein,WFS1,OMIM:222300,Wolfram syndrome 1
wolframin ER transmembrane glycoprotein,WFS1,OMIM:614296,"Wolfram-Like syndrome, autosomal dominant"
wolframin ER transmembrane glycoprotein,WFS1,ORPHA:411590,Wolfram-like syndrome
WW domain containing adaptor with coiled-coil,WAC,OMIM:616708,Desanto-Shinawi syndrome
WW domain containing adaptor with coiled-coil,WAC,ORPHA:284169,Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to 10p11.21p12.31 microdeletion
WW domain containing adaptor with coiled-coil,WAC,ORPHA:466950,Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation
zinc finger MIZ-type containing 1,ZMIZ1,OMIM:618659,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies
zinc finger MYM-type containing 3,ZMYM3,OMIM:301111,"Intellectual developmental disorder, X-linked 112"
